Genero,Idade,Experiencia,ED1,ED2,ED3,ED4,EE1,EE2,EE3,EE4,IS1,IS2,IS3,CF1,CF2,CF3,CF4,MH1,MH2,MH3,PR1,PR2,PR3,HA1,HA2,HA3,HA4,IC1,IC2,IC3,USO1,USO2,USO3,USO
1,26,6,5,4,4,4,3,3,4,2,3,3,3,4,4,4,5,4,5,5,5,4,4,4,1,5,4,5,2,5,4,1,2,4
0,26,24,4,5,5,5,4,4,4,4,4,5,5,4,4,4,5,5,5,4,4,4,4,4,2,5,5,5,5,5,5,1,5,5
1,28,6,5,5,5,3,4,5,4,5,5,5,4,5,5,4,5,4,5,4,5,5,5,4,1,5,4,5,3,5,5,1,4,5
1,29,12,5,1,3,4,3,2,2,3,3,4,3,2,2,2,4,4,4,4,5,3,2,2,1,5,2,4,4,4,5,1,3,5
0,30,12,5,5,5,5,2,5,4,2,5,5,5,1,4,5,4,5,5,5,1,2,1,5,1,5,5,5,5,5,1,3,5,5
0,30,12,4,4,2,4,4,4,2,3,4,4,4,3,3,5,3,4,4,4,5,4,5,3,1,4,2,4,4,4,4,1,3,4
1,30,24,5,5,5,5,5,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,2,5,5
1,30,24,5,3,4,3,4,4,4,4,3,3,3,1,4,4,5,5,4,4,3,3,3,5,1,4,4,5,5,5,2,5,5,5
1,30,60,5,5,5,5,5,5,5,5,5,3,5,2,5,5,5,5,5,5,3,5,3,5,2,5,5,5,5,5,5,2,5,5
1,31,12,5,5,5,5,5,3,5,5,3,3,4,1,5,5,5,5,5,5,5,3,3,5,1,5,2,5,5,5,5,1,5,5
1,31,12,4,5,4,3,4,3,3,2,3,4,4,2,3,3,4,4,4,4,1,3,2,2,1,5,1,5,3,4,4,1,4,4
0,32,48,5,3,3,3,5,5,5,5,3,3,3,3,5,5,5,5,5,5,3,3,3,5,2,5,5,5,5,5,5,1,1,5
1,32,48,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,3,5,2,5,2,5,5,5,5,5,5,5,5,5
1,32,60,5,3,4,5,3,3,2,3,3,3,3,3,4,5,4,4,4,3,4,5,5,2,1,5,2,4,4,4,4,3,4,4
0,32,96,3,4,4,3,4,3,2,3,5,5,5,1,4,3,5,1,5,3,3,3,1,5,1,5,5,5,5,5,5,3,5,5
0,33,12,4,4,2,3,2,4,1,2,5,5,5,1,2,4,5,4,4,2,2,2,2,2,1,5,2,4,4,3,1,1,5,5
1,33,24,5,4,5,5,5,4,4,5,5,4,5,5,4,5,5,4,5,5,5,4,4,5,2,5,5,5,5,5,3,3,3,3
1,33,36,4,4,4,4,3,2,2,3,4,4,4,3,2,2,4,2,4,3,2,3,3,2,2,4,2,4,3,4,1,1,5,5
1,33,48,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,2,1,3,1,3,3,3,3,3,4,1,3,4
0,33,60,5,5,5,5,5,5,5,5,3,5,3,1,5,5,5,5,5,5,3,3,3,5,1,5,5,5,5,5,5,1,2,5
1,33,60,4,3,4,2,4,4,4,4,3,3,3,2,5,4,4,2,3,3,4,3,3,4,1,2,4,5,3,5,5,2,4,5
1,33,60,3,3,5,4,3,3,4,3,4,4,4,1,2,3,3,4,5,3,3,3,3,4,3,3,4,4,2,4,5,2,3,5
0,33,60,4,3,4,4,5,5,5,5,3,3,3,3,5,5,4,4,5,5,1,3,1,4,1,4,4,4,4,4,4,1,2,4
0,33,72,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,2,3,5
0,33,84,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,1,5,4,5,5,5,5,5,5,1,1,5
0,33,108,5,5,5,5,4,5,4,4,2,2,2,5,4,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,4,5
0,34,36,5,5,5,5,5,5,5,5,3,3,3,4,5,5,5,5,4,5,4,5,4,5,1,5,5,5,5,5,5,4,5,5
1,34,48,5,3,4,4,4,4,5,4,3,3,3,5,4,5,4,2,4,3,3,5,3,5,2,5,4,5,4,5,5,4,5,5
1,34,60,5,5,2,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,2,4,2,4,2,5,2,4,5,5,1,5,5,5
1,34,60,5,5,5,5,5,4,5,5,5,3,5,3,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,4,1,4,4
1,34,60,5,3,5,5,4,4,3,4,4,4,3,1,4,2,5,3,3,3,2,2,1,5,1,5,5,5,4,5,5,4,3,5
1,34,72,5,5,5,5,5,4,5,4,5,5,5,3,5,5,4,5,5,5,3,5,3,5,1,5,5,5,5,5,3,5,1,5
1,34,120,5,5,5,5,4,4,5,4,5,3,5,4,4,5,5,5,5,5,4,4,4,5,2,5,5,5,4,4,5,1,3,5
0,35,24,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,3,5,1,5,5,5,5,5,1,5,4,5
0,35,72,5,5,4,4,4,4,4,5,3,4,4,2,4,5,5,5,5,4,4,2,1,5,2,5,4,5,5,5,2,5,5,5
1,35,108,5,5,4,4,4,5,4,4,5,5,5,5,5,5,2,5,5,5,5,5,5,5,1,5,4,5,4,5,5,1,4,5
1,35,120,5,5,5,5,5,5,5,4,5,2,3,2,5,5,5,5,5,5,2,5,3,5,2,5,5,5,5,5,5,3,4,5
1,35,120,4,3,4,4,3,4,4,4,3,4,3,2,4,4,4,3,4,3,3,3,3,4,2,4,4,5,4,5,5,1,5,5
0,36,12,3,1,1,1,5,5,1,5,1,1,1,1,2,3,1,2,3,3,5,1,1,1,1,4,1,3,1,4,2,3,5,5
1,36,24,4,3,2,2,5,5,5,5,4,3,3,1,5,4,3,3,4,5,3,5,3,3,2,5,3,5,4,5,5,2,5,5
0,36,48,5,3,5,5,5,4,4,5,3,3,5,1,4,5,5,4,5,5,5,5,3,5,1,5,5,5,5,5,4,1,5,5
1,36,48,4,3,4,4,3,4,4,3,2,2,3,4,4,4,4,3,4,2,4,4,2,3,2,4,2,4,4,4,1,4,1,4
1,36,48,5,4,3,4,4,4,3,4,4,5,4,3,4,5,5,3,5,4,5,5,3,4,4,4,4,4,5,5,5,3,3,5
1,36,60,5,5,5,5,5,5,3,5,3,3,4,2,5,4,5,4,5,4,4,4,4,5,1,5,4,5,5,5,5,2,5,5
1,36,60,5,4,3,3,4,3,3,4,1,1,1,5,4,3,5,3,4,4,5,5,5,1,1,5,3,3,3,3,3,1,2,3
1,36,72,5,5,4,5,5,3,3,4,3,3,5,3,5,5,3,5,5,5,3,5,3,5,3,5,5,5,5,5,4,4,4,4
1,36,84,5,5,5,5,3,3,3,5,4,5,5,1,5,5,5,3,5,3,1,5,1,5,1,5,5,5,5,5,5,3,5,5
0,36,96,5,5,4,5,5,5,5,5,1,1,1,3,5,5,5,5,5,5,3,3,3,5,1,4,5,5,5,5,5,5,5,5
0,36,120,5,4,4,5,4,5,4,4,5,5,5,1,4,5,5,4,5,5,3,5,1,5,1,5,5,5,5,5,3,3,5,5
0,36,120,5,5,5,5,3,5,5,5,5,5,5,2,5,5,4,2,5,4,5,3,3,5,1,5,5,5,5,5,5,1,4,5
1,36,156,2,3,4,2,4,4,3,4,3,1,1,1,4,4,3,3,2,2,2,2,1,2,1,1,3,2,1,2,4,1,4,4
1,37,12,4,3,4,3,3,4,4,5,3,2,4,3,4,4,4,3,5,3,3,4,3,4,2,5,3,5,3,5,3,1,4,4
1,37,24,5,5,3,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,3,3,3,5,2,5,5,5,5,5,5,3,5,5
1,37,48,4,5,5,4,4,4,4,2,5,5,5,1,4,4,5,5,4,4,2,4,2,4,2,4,4,4,4,4,4,1,5,5
1,37,60,5,5,4,5,4,5,5,5,5,2,5,5,5,5,3,5,5,5,5,5,5,3,2,5,3,4,4,4,4,1,4,4
1,37,60,4,4,4,4,2,4,4,4,3,3,3,5,5,4,3,4,4,3,5,5,5,4,1,4,4,4,3,3,4,1,2,4
1,37,72,5,5,5,5,5,4,4,5,4,5,5,3,5,5,5,4,4,5,4,2,3,5,3,5,4,5,5,5,1,1,3,3
1,37,72,5,5,5,5,4,5,4,4,3,3,3,3,4,5,2,5,4,5,3,3,3,5,3,5,5,5,5,5,5,4,5,5
1,37,84,5,4,5,4,3,3,2,3,4,5,5,1,2,4,4,3,4,3,4,2,2,4,2,5,4,5,3,5,3,5,5,5
0,37,84,5,5,3,5,5,4,3,5,4,4,3,3,5,3,5,5,4,4,3,3,3,2,1,5,3,4,4,2,4,1,4,4
1,37,120,5,5,4,5,5,4,5,5,4,4,5,3,4,5,5,4,4,5,3,3,3,5,1,5,5,5,5,5,5,2,3,5
1,37,132,5,3,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,1,1,1,5,1,5,5,5,5,5,5,3,3,5
1,37,132,4,4,4,4,3,4,4,4,3,3,3,3,5,4,4,4,5,3,3,3,3,4,1,5,4,5,3,5,4,4,4,4
1,37,168,2,1,1,1,2,1,1,5,2,1,1,5,5,5,1,1,2,1,5,5,5,1,1,2,1,5,1,5,3,1,1,3
1,38,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5
0,38,12,4,5,4,4,5,2,2,2,4,4,4,1,1,2,1,2,4,2,1,2,2,2,1,4,2,4,4,4,2,1,2,2
0,38,12,5,4,4,4,5,4,5,5,4,4,4,1,4,5,5,5,5,5,1,2,3,5,1,5,5,5,5,5,5,5,5,5
1,38,24,5,5,4,4,4,4,4,4,5,5,5,5,4,5,1,4,5,4,4,5,3,5,1,5,5,5,5,5,5,2,4,5
1,38,36,4,3,4,3,2,2,4,2,3,3,3,3,3,5,2,4,3,2,2,4,3,4,1,4,3,5,3,4,3,2,5,5
0,38,72,2,2,3,3,3,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,1,3,3,3,3,2,3,1,4,4
1,38,108,4,4,4,4,3,5,5,3,4,4,4,5,4,4,4,3,4,3,4,5,5,4,1,4,3,5,4,5,4,4,4,4
0,38,132,5,4,4,4,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3,3,5
1,38,132,4,3,4,4,4,3,4,4,3,2,3,1,4,4,4,4,4,4,1,1,1,4,1,4,1,5,4,5,5,1,3,5
0,38,156,5,5,5,5,5,4,4,4,5,1,5,1,4,5,5,5,5,5,3,2,3,5,1,5,5,5,5,5,5,3,3,5
1,38,156,5,5,5,5,5,5,999,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,2,5,5,5,5,5,5,1,5,5
1,38,156,5,5,5,5,4,5,5,4,5,3,3,3,4,5,3,4,5,4,3,3,3,5,1,5,5,5,5,5,5,2,5,5
0,39,12,5,1,5,1,5,4,4,4,5,5,5,4,4,5,4,5,5,5,2,2,2,5,1,5,5,5,5,5,3,4,4,4
0,39,60,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,3,5,1,5,5,5,5,5,5,2,2,5
0,39,120,5,4,5,5,4,4,4,5,4,4,4,3,4,5,4,5,5,5,3,3,4,4,4,5,5,4,4,5,3,3,4,4
1,39,120,5,5,4,5,4,5,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,1,5,5,5,5,5,5,3,4,5
1,39,156,5,5,5,5,4,5,4,4,4,3,4,3,4,5,5,5,999,5,3,4,3,4,3,4,5,4,4,4,5,5,5,5
1,39,180,4,5,3,4,4,3,2,3,4,5,4,1,3,5,2,4,5,3,2,2,2,4,2,5,3,4,4,3,1,3,4,4
0,39,192,5,5,5,5,5,5,4,5,5,5,5,3,5,5,4,4,5,4,3,5,2,5,1,5,5,5,5,5,5,5,5,5
0,40,84,4,3,4,5,4,4,2,4,4,4,3,2,4,4,4,4,5,5,3,2,2,4,2,4,4,4,3,4,5,5,5,5
1,40,84,5,5,4,5,5,4,4,5,3,3,3,5,5,5,4,4,5,4,5,5,5,5,2,5,5,5,5,5,5,1,2,5
1,40,96,4,3,3,3,4,4,2,4,3,3,3,1,5,5,4,4,4,5,5,5,3,4,1,5,4,5,4,5,4,1,4,4
1,40,120,4,3,5,5,4,4,5,4,4,4,4,3,5,5,1,3,4,5,3,3,3,4,1,4,5,5,3,5,5,2,5,5
1,41,12,5,5,5,5,4,4,4,4,3,4,3,4,4,5,5,4,5,4,2,4,2,4,1,5,5,5,5,5,1,3,5,5
1,41,24,5,1,2,2,2,5,5,2,3,3,3,5,5,5,1,4,5,5,5,5,5,5,1,5,5,5,5,5,5,1,2,5
0,41,84,2,4,4,4,2,4,4,2,3,3,3,2,4,4,2,2,4,4,2,2,2,4,1,4,4,4,4,2,2,4,3,4
1,41,96,5,3,5,5,4,4,4,4,3,3,3,3,4,5,4,5,5,5,3,3,3,5,1,5,5,5,5,5,2,4,4,4
1,41,144,5,4,2,5,5,5,5,5,5,5,4,1,5,5,4,5,5,5,5,3,1,5,1,4,5,5,4,5,5,4,4,5
1,41,168,5,5,5,5,5,5,5,5,3,3,3,1,5,5,5,5,5,5,2,5,1,5,1,5,5,5,5,5,5,1,3,5
1,41,180,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,4,5,5
1,42,12,5,4,5,3,2,2,3,3,3,3,3,5,4,5,1,5,5,5,5,5,3,4,1,5,4,5,3,5,5,1,3,5
0,42,84,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,4,5,4,5,5,3,5,1,5,5,5,5,5,5,1,3,5
1,42,120,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5,2,2,2,5,1,5,5,5,5,5,2,5,4,5
1,42,120,5,5,5,5,3,5,4,3,5,5,5,1,5,5,2,3,5,4,2,5,1,5,1,4,5,5,5,5,4,5,2,5
0,42,120,2,3,1,5,5,4,5,5,3,2,3,2,5,5,5,5,4,5,3,5,3,2,1,3,2,3,4,3,4,1,3,4
1,42,144,5,5,5,5,4,5,5,5,4,5,4,5,4,5,4,4,5,5,5,4,5,4,1,5,4,5,4,4,5,1,3,5
1,42,156,5,5,3,5,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3,3,5
1,42,168,5,4,5,5,5,5,5,5,1,1,1,1,5,5,4,5,5,5,3,2,2,5,1,5,5,5,5,5,1,5,3,5
0,42,168,5,4,5,4,2,4,2,2,3,3,3,1,2,4,3,3,5,3,3,3,3,3,1,5,3,5,4,5,5,1,3,5
0,42,180,5,4,4,4,4,5,4,4,5,5,5,1,4,5,5,4,5,4,5,5,5,4,1,5,4,5,5,5,5,4,5,5
0,42,180,5,4,4,5,4,5,5,5,3,4,5,2,5,5,4,4,5,5,3,4,3,5,3,5,5,5,5,5,4,4,5,5
1,42,240,4,4,4,4,5,5,3,5,3,3,3,3,5,3,3,4,5,5,3,3,1,4,1,4,5,5,5,5,5,1,2,5
0,43,24,4,3,4,2,2,4,2,4,3,3,3,1,4,2,2,2,2,2,1,1,1,2,1,5,2,5,4,5,4,4,4,4
0,43,84,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
1,43,120,5,3,5,5,5,4,4,5,3,4,3,5,5,5,5,5,5,4,5,5,5,5,2,3,5,5,3,5,5,1,1,5
1,43,132,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,1,5
1,43,144,4,3,4,4,5,5,4,5,3,3,3,3,5,5,1,3,4,3,5,3,3,3,1,4,4,4,4,4,4,1,1,4
1,43,144,5,4,5,5,4,5,5,4,4,3,3,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,1,5,5
1,43,156,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,3,5,1,5,5,5,5,5,5,1,4,5
1,43,180,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,2,3,5
1,43,180,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,2,2,5
1,43,228,5,3,4,5,4,5,4,5,1,3,3,5,5,5,5,5,5,5,5,5,5,4,2,5,5,4,4,4,5,1,4,5
1,44,24,1,1,1,1,3,3,1,3,3,3,3,3,3,1,3,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,5,5
1,44,36,5,2,5,5,5,5,5,5,2,2,2,1,5,5,2,2,5,2,1,5,2,5,2,5,5,5,5,5,5,1,1,5
1,44,84,4,3,2,4,4,4,4,4,3,3,3,4,4,5,5,3,5,4,999,5,1,4,1,4,4,5,4,4,4,5,5,5
1,44,96,5,5,5,5,5,5,5,5,5,5,5,5,999,5,5,5,5,5,3,5,3,5,1,5,5,5,5,5,5,5,5,5
1,44,132,5,5,5,5,5,5,5,5,4,3,5,5,5,5,4,5,4,5,5,5,3,4,2,4,5,5,4,5,5,1,5,5
1,44,156,4,4,3,4,3,2,3,2,3,5,4,1,4,4,1,3,4,3,1,3,1,3,2,4,3,4,4,4,5,2,5,5
1,44,168,5,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,2,5,4,5
0,44,168,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,4,5,3,5,1,5,5,5,5,5,5,1,3,5
0,44,180,4,4,5,4,4,4,4,4,3,3,3,2,4,4,5,3,5,4,2,2,2,5,1,4,4,5,3,5,5,3,5,5
